Patient,SLC6A4,SFTPC,ITLN2,SERTM1,CLDN18,LGI3,AGER,CD300LG,ANKRD1,FABP4,CST1,FAM83A,COL11A1,PPP1R14D,ABCA12,LOC84740,PRAME,SPINK1,CA9,MMP13,status
TCGA-44-7662,0.5919,39.3637,0.8879,0,5.0314,1.4798,76.0636,0,44.0991,30.1887,198.2982,5015.4643,11029.8187,1.7758,257.4917,1996.7059,0.296,11.5427,131.5516,311.3578,1
TCGA-44-7671,0.3151,31.8236,0,0.3151,0.9453,52.9342,190.6262,18.2749,2.5207,73.4147,2333.202,2002.9933,1172.115,8.1922,155.6518,1762.8641,1.5754,371.4848,79.8456,123.8283,1
TCGA-44-7672,1.5619,1180.0078,0,0,107.3799,7.419,326.435,0.7809,7.419,8.5904,85.9039,2041.3901,1916.4389,1202.6552,56.6185,1774.1351,3.9047,10905.5057,374.9551,98.7895,1
TCGA-44-8117,18.7888,1825.6974,1.1562,0,128.6313,11.5624,489.3771,3.7578,30.0621,39.8902,11.5624,3370.7183,2285.8795,40.7573,224.5989,593.7766,1.1562,45.6713,19.7659,156.9591,1
TCGA-44-8120,30.5574,11965.5963,8.971,2.5231,524.8019,68.684,1095.5801,3.0838,48.4993,142.4142,20.7454,1455.2601,620.9596,142.9749,40.9301,13.2434,1.1214,19.9043,0,920.9265,1
TCGA-44-A479,3.4052,11.3507,11.3507,11.9183,22.1339,1.1351,96.4813,0.5675,3.4052,5.6754,9.6481,551.0783,1818.9557,745.7435,447.2191,1207.0488,6204.8808,8472.1907,444.546,107.832,1
TCGA-44-A47A,3.0706,3354.6571,4.6059,3.5824,62.436,25.0768,241.5558,3.0706,13.306,47.0829,4827.0215,535.3122,183.7257,220.0614,291.7093,6470.1075,35.3122,1584.4422,1361.7093,30.1945,1
TCGA-44-A47B,0.8957,36.7219,0.8957,0,193.9095,3.5826,322.884,0.4478,1.7913,36.2741,165.6964,1506.0457,754.1424,218.9879,403.9409,64.5768,3.1348,459.0237,2848.961,63.5916,1
TCGA-44-A47G,4.603,7146.145,1.1507,1.7261,421.7491,17.2612,844.649,2.3015,37.9747,35.6732,42.5777,1124.8562,677.2152,28.7687,257.7675,2867.9862,3.4522,27.618,479.7468,162.8308,1
TCGA-44-A4SS,1.1077,16.0615,0,0,122.9534,1.1077,243.6914,1.1077,11.6307,14.3999,11316.6949,1196.3031,1550.7633,14.3999,295.7527,3406.5451,2.7692,1053.4113,37.6226,27.6922,1
TCGA-44-A4SU,2.3477,30.52,0.9391,0.9391,0.9391,1.8782,206.597,1.8782,3.7563,4.6954,1954.6895,847.5173,1753.727,174.1988,141.3311,1812.2127,46.0148,45.0757,246.2871,1726.0242,1
TCGA-49-4514,2.2953,3001.513,0.7651,0.7651,172.149,3.8255,299.9218,5.3557,3.0604,3.8255,12599.7747,2247.1179,89.5175,654.9312,856.1542,5283.1602,1024.4777,5185.8922,3.0604,186.686,1
