"","TCGA-44-2655","TCGA-44-2657","TCGA-44-2665","TCGA-44-2668","TCGA-44-3396","TCGA-44-3398","TCGA-44-6144","TCGA-44-6776","TCGA-44-6778","TCGA-44-7659","TCGA-44-7660","TCGA-44-7661","TCGA-44-7662","TCGA-44-7667","TCGA-44-7670","TCGA-44-7671","TCGA-44-7672","TCGA-49-6742","TCGA-49-6743","TCGA-49-6744","TCGA-49-6745","TCGA-50-7109","TCGA-55-7283","TCGA-55-7570","TCGA-55-7574","TCGA-55-7576","TCGA-55-7724","TCGA-55-7725","TCGA-55-7726","TCGA-55-7903","TCGA-55-7910","TCGA-55-7911","TCGA-55-7914","TCGA-78-7163","TCGA-78-7540","TCGA-86-7711","TCGA-86-7713","TCGA-91-6835","TCGA-91-6836","TCGA-93-7348"
"hsa-mir-657",0,0,0,0,0,0,0,0,0,0,0,0,0.164125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-658",0,0,3.944908,8.241136,6.639258,4.792617,0.156476,0.149708,0,0,0.614724,0,0,0,0,0.192354,0,0,0,0,0.099859,0,0,0.423433,0,0,0,0,0,0.225494,0.462886,0.483846,0,0,0,0,0.351491,0,0.406438,0
"hsa-mir-659",0,7.78802,5.259877,2.060284,1.659814,0,1.564758,0.149708,1.175024,1.00491,0.409816,0.501246,0.328249,1.519989,0.876564,0.384709,0.208818,0.546325,0.920751,0.376221,0.898728,0.451912,0.47174,0.63515,0.629797,0.765236,0.374522,0.812772,0.154225,0.450987,0.694328,0,0.929272,1.551229,0.402416,0.832569,0.878728,0.592631,1.016096,0.745613
"hsa-mir-660",1.839317,1.298003,5.259877,2.060284,1.659814,1.369319,32.859926,33.235105,38.241702,48.068203,47.743544,31.829095,38.897516,50.615649,27.348788,40.779104,30.487461,18.438462,17.362735,8.841189,16.276968,42.931653,46.859457,69.866525,50.541232,52.418692,20.598703,20.319306,16.039403,25.255281,39.345276,28.546932,24.161076,53.40661,38.229561,38.797736,28.295036,27.063498,36.985879,20.877169
"hsa-mir-661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-662",0,0,0,0,0,0,0.156476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185854,0,0,0,0,0,0,0
"hsa-mir-663a",0,0,1.314969,2.060284,1.659814,0.68466,0,0,0.320461,0,0,0.125311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225494,0,0,0,0,0,0,0,0,0,0
"hsa-mir-663b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-664a",20.23249,38.940102,34.189203,35.024826,61.413133,31.494338,14.552253,18.863168,19.441312,14.571197,18.441712,16.917039,15.591831,13.223908,14.72627,16.542467,19.628913,12.155727,9.207511,12.603397,9.087142,65.527261,13.994939,36.626997,21.098209,20.278764,13.295527,15.036286,12.029552,8.568756,17.126767,18.870006,12.266393,22.603628,11.401799,10.323861,12.477935,22.717535,13.8189,9.586455
"hsa-mir-664b",16.553855,24.662065,13.149693,47.38653,49.794432,10.954552,3.598944,2.095908,2.456869,3.852156,2.663803,2.004982,1.80537,2.127985,2.629691,4.03944,3.967546,1.775556,1.052287,3.950319,2.196891,2.485517,2.515944,4.234335,3.778784,3.634873,2.247131,3.657475,1.8507,1.578455,3.240199,4.838463,1.486835,2.65925,1.743805,3.996333,2.284692,3.358244,2.641848,1.38471
"hsa-mir-665",0,1.298003,0,2.060284,0,0,0.469428,0.299415,0.10682,0.502455,0.204908,0.501246,0,0.151999,0,0,0,0.409744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221604,0.134139,0,0.351491,0,0,0.213032
"hsa-mir-668",0,0,1.314969,0,1.659814,0,0,0,0,0,0,0,0.164125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-670",0,1.298003,0,0,0,0,0,0,0,0,0,0,0,0.151999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-671",66.215421,67.496177,43.393988,51.507098,58.093504,46.556847,2.034186,1.497077,1.709126,1.842335,2.253987,0.626557,2.133619,1.215992,2.454378,1.154126,1.044091,2.32188,2.367646,0.752442,1.597739,6.32677,2.044205,4.234335,1.889392,3.252255,0.936305,3.047896,0.30845,2.480429,0.925771,3.386924,2.230253,2.880855,1.475527,1.831653,2.108947,2.568069,1.828972,1.278194
"hsa-mir-6715a",0,0,0,4.120568,0,0,0,0.149708,0,0,0,0,0,0,0,0,0.208818,0,0,0.18811,0,0.225956,0.157247,0,0.157449,0,0,0,0,0,0,0,0,0,0.268278,0,0,0,0.203219,0
"hsa-mir-6715b",0,0,0,0,0,3.423298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6716",1.839317,0,9.204785,4.120568,14.93833,1.369319,0.469428,0.449123,0.213641,0.66994,0.409816,0.501246,0.656498,0.151999,0.175313,0.192354,0,0.136581,0.131536,0.376221,0.399435,0,0.943479,0.846867,0.472348,0.191309,0.749044,0.406386,0.154225,0.225494,0.231443,1.451539,0,0,0.268278,0.499542,0.175746,0.395088,0.609657,0.639097
"hsa-mir-6717",3.678634,2.596007,0,0,0,0,0.156476,0,0.10682,0,0.204908,0,0,0.151999,0,0,0,0,0.131536,0.564331,0.099859,0.451912,0,0,0,0,0,0,0,0.225494,0.231443,0.967693,0.185854,0,0.268278,0,0,0.197544,0.203219,0
"hsa-mir-6718",16.553855,27.258072,1.314969,28.843975,3.319629,0,1.564758,1.047954,0.640922,0.66994,1.844171,1.127803,1.477121,0.455997,1.227189,0.192354,1.670546,0.273162,0.394608,1.504883,1.398022,0.225956,0.943479,0.423433,0.944696,0.573927,2.247131,0.609579,1.388025,0.450987,2.314428,5.806156,1.486835,1.329625,0.536555,1.665139,0.878728,0.790175,0.812876,0.426065
"hsa-mir-6719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6720",16.553855,2.596007,10.519755,12.361703,9.958886,6.846595,1.095331,4.042107,2.990971,2.512275,2.049079,2.506228,1.477121,2.431983,2.629691,2.115897,1.879364,1.638974,2.630717,2.633546,1.098446,1.807649,2.358698,1.058584,2.20429,4.782727,1.123566,1.828738,2.4676,0.450987,1.851542,2.903078,2.044399,2.65925,3.35347,1.165597,1.933201,3.1607,2.032191,3.728066
"hsa-mir-6721",5.517952,1.298003,0,2.060284,0,0,0,0,0.10682,0,0,0,0,0.151999,0,0,0,0,0.131536,0,0,0,0.157247,0,0,0,0.187261,0,0,0,0,0,0,0.221604,0,0,0,0,0,0
"hsa-mir-6722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hsa-mir-6723",0,0,1.314969,0,0,1.369319,0.312952,0.149708,0,0,0,0,0,0.303998,0,0.192354,0,0.136581,0,0,0,0.225956,0,0,0.157449,0,0,0.406386,0.462675,0.225494,0,0,0,0,0.134139,0,0,0,0,0.106516
